part_number,type,description,value,group,subgroup,temp_range_low,temp_range_high,manufacturer,manufacturer_part_number,digikey_part_number,supplier2,supplier2_part_number,supplier3,supplier3_part_number,aec_q,library_ref,library_path,footprint_ref,footprint_path,footprint2_ref,footprint2_path,footprint3_ref,footprint3_path
1014001-00-A,SEMI,High-speed switching diodes SC-70,BAV99W,Diodes,Small Signal,-65C, 150C,Nexperia,BAV99W/DG/B2115,2156-BAV99W/DG/B2115-ND,,,,,Yes,HS_serial_diodes,symbols/discrete_semiconductors/HS_serial_diodes.Schlib,SOT323-3N (SC-70),footprints/sot/SOT323-3N (SC-70).PcbLib,,,,
1014002-00-A,SEMI,Small Signal Fast Switching Diodes SOD-80 (MiniMELF),LL4148-M,Diodes,Small Signal,-65C, 175C,Vishay,LL4148-M-08CT,112-LL4148-M-08CT-ND,,,,,Yes,Diode_rectifier,symbols/discrete_semiconductors/Diode_rectifier.Schlib,MiniMELF (SOD-80),footprints/sod/MiniMELF (SOD-80).PcbLib,,,,
1014003-00-A,SEMI,Low VF Trench MEGA Schottky barrier rectifier SOD-123W,PMEG40T10ER,Diodes,Shottky,-55C, 175C,Nexperia,PMEG40T10ER,1727-7478-1-ND,,,,,Yes,Diode_shottky,symbols/discrete_semiconductors/Diode_shottky.Schlib,SODFL350X110-2N,footprints/sod/SODFL350X110-2N.PcbLib,,,,
1014004-00-A,SEMI,1 CHANNEL UNIDIRECTIONAL TVS DFN-1006,D15V0H1U2LP,Diodes,TVS,-65C, 150C,Diodes,D15V0H1U2LP-7B,D15V0H1U2LP-7BDICT-ND,,,,,No,TVS_unidirectional,symbols/discrete_semiconductors/TVS_unidirectional.Schlib,DFN60P98X50-2N,footprints/dfn/DFN60P98X50-2N.PcbLib,,,,
1014005-00-A,SEMI,TVS DIODE 20VWM 32.4VC DO218,SM8S20CA-Q,Diodes,TVS,-55C, 175C,Bourns,SM8S20CA-Q,SM8S20CA-Q-ND,,,,,Yes,TVS_bidirectional,symbols/discrete_semiconductors/TVS_bidirectional.Schlib,DO-218,footprints/do/DO-218.PcbLib,,,,
1014006-00-A,SEMI,Bipolar (BJT) Transistor NPN SC-70,BC817-40W,Transistors,Bipolar,-55C, 150C,Diotec,BC817-40W,2796-BC817-40WTR-ND,,,,,No,NPN_transistor,symbols/discrete_semiconductors/NPN_transistor.Schlib,SOT323-3N (SC-70),footprints/sot/SOT323-3N (SC-70).PcbLib,,,,
1014007-00-A,SEMI,N-Channel NexFET Power MOSFET SON5x6,CSD18510Q5B,Transistors,Mosfet,-55C, 150C,TI,CSD18510Q5B,296-48514-1-ND,TI,CSD18510Q5B,,,No,NMOS_single,symbols/discrete_semiconductors/NMOS_single.Schlib,SON5X6 (S5B),footprints/son/SON5X6 (S5B).PcbLib,,,,
