part_number,type,description,value,contacts_count,temp_range_low,temp_range_high,manufacturer,manufacturer_part_number,digikey_part_number,supplier2,supplier2_part_number,supplier3,supplier3_part_number,aec_q,library_ref,library_path,footprint_ref,footprint_path,footprint2_ref,footprint2_path,footprint3_ref,footprint3_path
1013001-00-A,CON,16 conn header vertical 2.54 pitch,68464-116HLF,16,-65C,125C,Amphenol,68464-116HLF,609-68464-116HFL-ND,,,,,No,HEADER_100MIL_2X8,symbols/connectors/HEADER_100MIL_2X8.SCHLIB,68464-116HLF,footprints/connectors/68464-116HLF.PcbLib,,,,
1013002-00-A,CON,20 conn header vertical 2.54 pitch,68464-120HLF,20,-65C,125C,Amphenol,68464-120HLF,609-5532-ND,,,,,No,HEADER_100MIL_2X10,symbols/connectors/HEADER_100MIL_2X10.SCHLIB,68464-120HLF,footprints/connectors/68464-120HLF.PcbLib,,,,
